timestamp,open,high,low,close,volume
2020-04-14,2200.4700,2292.0000,2186.2100,2283.3200,8087193
2020-04-13,2040.0000,2180.0000,2038.0000,2168.8700,6716709
2020-04-09,2044.3000,2053.0000,2017.6600,2042.7600,4655617
2020-04-08,2021.0000,2044.0000,2011.1500,2043.0000,3977313
2020-04-07,2017.1100,2035.7200,1997.6200,2011.6000,5113983
2020-04-06,1936.0000,1998.5200,1930.0200,1997.5900,5773181
2020-04-03,1911.1500,1926.3300,1889.1500,1906.5900,3609870
2020-04-02,1901.6400,1927.5300,1890.0000,1918.8300,4335985
2020-04-01,1932.9700,1944.9600,1893.0000,1907.7000,4121875
2020-03-31,1964.3500,1993.0200,1944.0100,1949.7200,5123626
2020-03-30,1922.8300,1973.6300,1912.3400,1963.9500,6126087
2020-03-27,1930.8600,1939.7900,1899.9200,1900.1000,5387897
2020-03-26,1902.0000,1956.4900,1889.2900,1955.4900,6235118
2020-03-25,1920.6900,1950.2600,1885.7800,1885.8400,6479073
2020-03-24,1952.0100,1955.0000,1900.3400,1940.1000,7147080
2020-03-23,1827.7500,1919.4000,1812.0000,1902.8300,7808489
2020-03-20,1926.3100,1957.0000,1820.7300,1846.0900,9817850
2020-03-19,1860.0000,1945.0000,1832.6500,1880.9300,10399943
2020-03-18,1750.0000,1841.6600,1745.0000,1830.0000,9596297
2020-03-17,1775.4700,1857.7800,1689.2400,1807.8400,10917129
2020-03-16,1641.5100,1759.4500,1626.0300,1689.1500,8917265
2020-03-13,1755.0000,1786.3100,1680.6200,1785.0000,8809725
2020-03-12,1721.9800,1765.0000,1675.0000,1676.6100,11346214
2020-03-11,1857.8500,1871.3200,1801.5000,1820.8600,5646831
2020-03-10,1870.8800,1894.2700,1818.1700,1891.8200,7133310
2020-03-09,1773.8600,1862.7700,1761.2900,1800.6100,7813232
2020-03-06,1875.0000,1910.8700,1869.5000,1901.0900,5273580
2020-03-05,1933.0000,1960.7200,1910.0000,1924.0300,4748210
2020-03-04,1946.5700,1978.0000,1922.0000,1975.8300,4772919
2020-03-03,1975.3700,1996.3300,1888.0900,1908.9900,7534491
2020-03-02,1906.4900,1954.5100,1870.0000,1953.9500,6761651
2020-02-28,1814.6300,1889.7600,1811.1300,1883.7500,9493797
2020-02-27,1934.3800,1975.0000,1882.7600,1884.3000,8143993
2020-02-26,1970.2800,2014.6700,1960.4500,1979.5900,5240402
2020-02-25,2026.4200,2034.6000,1958.4200,1972.7400,6219094
2020-02-24,2003.1800,2039.3000,1987.9700,2009.2900,6546997
2020-02-21,2142.1500,2144.5500,2088.0000,2095.9700,4650740
2020-02-20,2173.0700,2176.7900,2127.4500,2153.1000,3131342
2020-02-19,2167.8000,2185.1000,2161.1200,2170.2200,2561165
2020-02-18,2125.0200,2166.0700,2124.1100,2155.6700,2951070
2020-02-14,2155.6800,2159.0400,2125.8900,2134.8700,2606169
2020-02-13,2144.9900,2170.2800,2142.0000,2149.8700,3031791
2020-02-12,2163.2000,2180.2500,2155.2900,2160.0000,3334264
2020-02-11,2150.9000,2185.9500,2136.0000,2150.8000,5746011
2020-02-10,2085.0100,2135.6000,2084.9600,2133.9100,5056235
2020-02-07,2041.9900,2098.5300,2038.1000,2079.2800,5095347
2020-02-06,2041.0200,2056.3000,2024.8000,2050.2300,3182954
2020-02-05,2071.0200,2071.0200,2032.0000,2039.8700,4376174
2020-02-04,2029.8800,2059.8000,2015.3700,2049.6700,5289338
2020-02-03,2010.6000,2048.5000,2000.2500,2004.2000,5899094
2020-01-31,2051.4700,2055.7200,2002.2700,2008.7200,15567283
2020-01-30,1858.0000,1872.8700,1850.6100,1870.6800,6327438
2020-01-29,1864.0000,1874.7500,1855.0200,1858.0000,2101390
2020-01-28,1840.5000,1858.1100,1830.0200,1853.2500,2808040
2020-01-27,1820.0000,1841.0000,1815.3400,1828.3400,3528509
2020-01-24,1891.3700,1894.9900,1847.4400,1861.6400,3766181
2020-01-23,1885.1100,1889.9700,1872.7600,1884.5800,2484613
2020-01-22,1896.0900,1902.5000,1883.3400,1887.4600,3216257
2020-01-21,1865.0000,1894.2700,1860.0000,1892.0000,3643771
2020-01-17,1885.8900,1886.6400,1857.2500,1864.7200,3997340
2020-01-16,1882.9900,1885.5900,1866.0200,1877.9400,2659493
2020-01-15,1872.2500,1878.8600,1855.0900,1862.0200,2896592
2020-01-14,1885.8800,1887.1100,1858.5500,1869.4400,3446381
